메이l ,2020.12.29,"코디 3겹 로맨틱 코튼 천연펄프 롤화장지 27m, 30롤, 1팩","
                
                    탄탄한 로맨틱코디 휴지 짱!
                
            ","<div class=""sdp-review__article__list__review__content js_reviewArticleContent"">
                    
                        가격 : 10,340원<br>
배송 : 로켓배송으로 화장지 그대로 배송됨<br>
재구매의사 : 재질이 짱짱해 이 제품으로 계속 사용해도 될듯<br>
<br>
● 구매이유<br>
화장지는 늘 누가 주는 것만 써서 어쩌다 한번씩 구입하는데<br>
이제 구매해서 써야할 수 밖에 없어 도톰하고 짱짱한 걸 고르고 골라<br>
이 상품으로 선택했다<br>
<br>
● 향기&amp;재질<br>
스페인의 천연코튼과 라벤더 바닐라향으로 마음까지 부드럽게~<br>
라고 써있는데 일단 막 너무 부드럽다!! 이런건 아니고 적당하다<br>
향기는 라벤더 바닐라향은 나지 않는다 ㅎ.ㅎ 살짝? 향긋하긴한데...<br>
그래도 맘에 드는건 늘 싼 휴지를 사서 손이 젖어 있으면<br>
휴지들이 달라붙는데 이건 재질이 짱짱해서 손에 묻어남이 없다<br>
<br>
● 사용후기<br>
늘 받아써오던 것이 모**자 휴지 중 젤 고급으로 사용했눈데 <br>
그 휴지는 정말 재질이 좋다.<br>
비싸기도 하지만 매우 맘에 들었기에 흡족해 했다. <br>
하지만 지속적으로 소비되는 생필품이기에 가격을 무시할 수가 없다.<br>
그렇기에 난 코디 로맨틱코튼으로 결정했다.<br>
왠지 휴지는 만원 안팍으로 사야지 그 이상이 되면 낭비인거 같은<br>
나의 느낌적인 느낌때문에 ㅠ.ㅠ<br>
내가 제일 싫어하는 휴지는 젖은 손에 묻어 나는 휴지기에<br>
이 제품은 그점에 매우매우 흡족흡족!!<br>
가격이 매우싸면 얇아서 젖은손에 잘 묻어난다.<br>
같은 코디 제품도 싼건 그랬다.<br>
요건 가격면에서도 내맘을 충족충족! 물론 쿠폰행사 때 샀지만<br>
이정도 품질이면 조금 더 주더라도 계속 이 제품을 사용하겠다.<br>
휴지도 잘 뜯긴다~  특히 처음 사용할 때 잘안뜯겨 <br>
질척이는 애들도 있는데 매끄럽게 잘 뜯긴다. <br>
<br>
● 장점<br>
탄탄한 휴지재질이 맘에 쏙!! 깔끔하게 뜯김!!<br>
<br>
● 단점<br>
음.. 라벤더 바닐라향이 뭔진 모르지만 느낄 수 없다 ㅋ<br>
물론 난 향기가 짙은 건 싫으니까 단점이 아닐 수 도 있다 ㅎㅎ
                    
                </div>",https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202012/29/7236660600545205440/48de9874-083c-4601-9aac-ff974231679f.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/q-1/image2/PRODUCTREVIEW/202012/29/7236660600545205440/48de9874-083c-4601-9aac-ff974231679f.jpg
망고팅 ,2021.06.01,"코디 3겹 로맨틱 코튼 천연펄프 롤화장지 27m, 30롤, 1팩","
                
                    코디 30롤 전에 쓰던 깨**** 보다  좋아요.
                
            ","<div class=""sdp-review__article__list__review__content js_reviewArticleContent"">
                    
                        화장지 펑펑쓰는  남편과 아들 동네 슈퍼에서   산  깨****  3겹 30롤  짜리인데<br>
생각보다 얇고 많이 말리지 않은거 같아서 <br>
후딱 써버린거 같네요.<br>
이 번에  쿠팡에서 로맨틱코튼코디 30롤 구매했네요<br>
천연코튼이라  먼지도 안나고 깨끗해서<br>
좋은거 같은데 <br>
라벤다바닐라 향이 넘 약하게 나네요.<br>
몇장 뜯어보면  육안으로도  화장지 품질이<br>
좋아 보이는게 확연히 보여요<br>
전 화장실용으로  청소용으로   미용티슈로<br>
사용을 하는 편인데<br>
코디30롤 맘에듭니다<br>
가격도 저렴하구요.<br>
조금 아쉬운점이 있다면<br>
좀더 향이  강하고<br>
지금보다 더 두터운3겹  이였으면 좋겠어요<br>
한동안 잘 사용할거 같습니다
                    
                </div>",https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202106/1/792327113370452367/a6f66846-17a3-45da-bf4e-87d217b91b6c.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/q-1/image2/PRODUCTREVIEW/202106/1/792327113370452367/a6f66846-17a3-45da-bf4e-87d217b91b6c.jpg
김*미 ,2020.09.16,"코디 3겹 로맨틱 코튼 천연펄프 롤화장지 27m, 30롤, 1팩","
                
                    코디~ 우리집 화장지를 부탁해 ♡
                
            ","<div class=""sdp-review__article__list__review__content js_reviewArticleContent"">
                    
                        촉감.. 타상품 천연펄프 3겹 화장지보다는 조금더 부드러운것 같아요 <br>
두께.. 앰보싱이 되어 있어서 도톰하게 보이구요 기존에 쓰고 있던 3겹 화장지랑 비교 사진 찍었는데 차이가 아주 조금 나는것 같아요 ㅋㅋ<br>
향기.. 고급진 라벤더 바닐라향이 나는것 같아요 은은한 향수 같다고나 할까요 라벤더에 달달한 바닐라향이 난다는게 맞는것 같아요 <br>
후기.. 화장지 질감이 부드러워서인지 사용할때 쓸리는것 없고 앰보싱이 되어 있어서 비데후 손에 물기가 묻어나지 않아서 좋았습니다 (타제품3겹 화장지는 비데후 장수는 조금더 사용함)  안방화장실 들어갈때마다 은은하고 달달한 향기가 나서 기분이 좋아진답니다^^ 아쉬운 점은 화장지 끝 붙이는 과정에서 마무리가 조금 지저분하게 되었다는것 (사진 확인하세요) 이것 말고는 가격 품질 갯수까지 다 마음에 드네요 별 5개입니다^^
                    
                </div>",https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202009/16/3467097516186487916/2570c43f-0f68-4856-8cfd-8e6496f7dc41.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/q-1/image2/PRODUCTREVIEW/202009/16/3467097516186487916/2570c43f-0f68-4856-8cfd-8e6496f7dc41.jpg
mamaj ,2020.03.22,"코디 3겹 로맨틱 코튼 천연펄프 롤화장지 27m, 30롤, 1팩",,"<div class=""sdp-review__article__list__review__content js_reviewArticleContent"">
                    
                        향=처음에 은은한 플로럴향 나다가 점차 무향됨<br>
재질=쓰기에 불편함 없이 부드러워요<br>
두께=얇은세겹<br>
<br>
감아놓은 마감처리가 뜯긴 느낌들 정도로 <br>
깔끔하지 못했어요<br>
한두개 정도만 그렇겠거니 했는데~~~<br>
전체가 다 똑같아서 당황 스러웠답니다(-_-a.)<br>
그러나 롤 두번 정도 풀고나면 정상적으로 깔끔했어요<br>
<br>
마디 끊김은 어쩌다 힘 조절 잘못하면 한쪽이 길게 찢기듯<br>
깔끔하게 끊어지지 않을때도 여러번 있었어요<br>
그럴때면 필요이상 한 마디 더 끊어내야 했답니다(낭비)<br>
<br>
낱장 두께는 얇은3겹 오히려 전 그상태가 두꺼운것 보단 사용하기 편했어요~<br>
평소 2~3번 둘둘감아쓰는 버릇? 있어서 두꺼운거 쓸때 버릇 처럼 쓰다 감은거 도로 풀어낸 적도 있어서......<br>
<br>
향은 다 사용하고 난 제 느낌상~<br>
휴지를 뭉친다음 향을 공중에서 살포?한 느낌 살짝 들었어요<br>
휴지를 3분의 1도 안쓴 정도에서 유향에서~~~~무향으로<br>
바뀌는걸 경험 했거든요<br>
<br>
롤 첫장 너더분한 부분 넘어가면 그다음 부턴 부드럽게<br>
잘 사용할수 있어서 그나마 괜찮게 사용했어요<br>
<br>
✔평소에 오프라인매장 에서 코디 가끔 사용 했던터라<br>
할인권도 있고 해서 할인권 다운하고 코디 여러종류 찜하고 비교 해보고 라벤더 구매 하려다가. 로맨틱으로 주문 했어요<br>
<br>
배달온 상태는 마트에서 배달온건줄 착각했어요 ㅋㅋ<br>
휴지포장 그대로인채 왔거든요 ㅋㅋ<br>
쿠팡에서 화장지 자주 이용 하는데 처음 겪었던 일이라 당황 했다가 긍정적으로 생각 하기로 했어요*~^^~*<br>
비닐포장 쓰레기 안 나오고 좋은 것일수도 있으니까요<br>
2팩 이상은 비닐포장 해서 보내 주시는거 맞죠?
                    
                </div>",https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202004/25/8942077167676818977/94973d27-676c-4e93-8ee0-c5618fef482c.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/q-1/image2/PRODUCTREVIEW/202004/25/8942077167676818977/94973d27-676c-4e93-8ee0-c5618fef482c.jpg
Joyday ,2019.12.27,"코디 3겹 로맨틱 코튼 천연펄프 롤화장지 27m, 30롤, 1팩","
                
                    스타트 할 때 잘 뜯기는 거  너무 좋네요
                
            ","<div class=""sdp-review__article__list__review__content js_reviewArticleContent"">
                    
                        주문 일자: 2019.11.01<br>
<br>
도착 일자: 2019.11.02<br>
<br>
길이 : 27m이고 <br>
<br>
3겹 입니다<br>
<br>
가격 :11,394원에 <br>
로켓배송으로 구매했어요<br>
<br>
산 지는 꽤 되었는데 같이 샀던 화장지를 먼저 사용해서 <br>
후기를 이제서야 쓰게 됐네요 <br>
사람은 첫인상이 중요하듯 화장지도 첫 스타트 때 호불호가 갈리는 것 같습니다 <br>
스타트가 부드럽고 깔끔하게 뜯겨서 너무 좋았어요 <br>
이전에 썼던 타 화장지는 먼지 날림이 심하고 처음 뜯을 때도 엄청 어려웠거든요 <br>
이 코튼 화장하는 달랐어요 <br>
뜯는 것부터 사용할 때 항상 편햇습니다<br>
닿는 느낌 또한 부드럽고요 <br>
두께도 이 정도면 괜찮고 향 또한 은은하고 좋습니다 <br>
재구매 의향 또한 있습니다 <br>
화장지 유목민이었는데 드디어 정착할 때가 온 것 같네요<br>
또 주문할게요!
                    
                </div>",https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/201912/27/6520485482502423305/66fcdc1d-91c4-482b-9ed2-fc87d8e17fec.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/q-1/image2/PRODUCTREVIEW/201912/27/6520485482502423305/66fcdc1d-91c4-482b-9ed2-fc87d8e17fec.jpg
DDoRA ,2020.04.03,"코디 3겹 로맨틱 코튼 천연펄프 롤화장지 27m, 30롤, 1팩",,"<div class=""sdp-review__article__list__review__content js_reviewArticleContent"">
                    
                        코디 구매는 처음 입니다. <br>
리뉴얼 전 포장디자인으로 왔네요.<br>
사실 깨끗한**벚꽂 사려다가ㅜㅜ 로켓이 없어서 우연찮게 구입했는데 넘나 만족스러워서 놀라는중입니다.<br>
아무리 우연찮게 구입한거래도 일단 무형광인지, 상품평은 어떤지 꼼꼼히 따져보고 구매했습니다.<br>
재질은 뭔가 뽀득뽀득한 느낌입니다.<br>
근데 그 뽀득뽀득함이 뻣뻣한건 아니라서 걍 아주 좋습니다.<br>
재구매의사는 당연히당연히당연히 있습니당ㅎ
                    
                </div>",https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202004/3/6089107772407160340/abaa99f4-6173-46f4-b87d-9cf13b105e9b.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/q-1/image2/PRODUCTREVIEW/202004/3/6089107772407160340/abaa99f4-6173-46f4-b87d-9cf13b105e9b.jpg
차*선 ,2019.10.08,"코디 3겹 로맨틱 코튼 천연펄프 롤화장지 27m, 30롤, 1팩","
                
                    숨구멍 없이 받고파요~^^
                
            ","<div class=""sdp-review__article__list__review__content js_reviewArticleContent"">
                    
                        마트서 산 비슷한  가격대 코디 다른거 사용중인데 엄청 만족중인데 마침 똑 떨어져 새벽배송 이라 주문했죠.<br>
근데 이건 많이 얇고 말려져있는 상태서도 위아래 단면이 눈으로 봐서도 먼지도 많고해서 화장실용은 다른거 새로사서 쓰렵니다.<br>
두팩산거는 집안정리용으로 쓰렵니다.추천하고싶진않아요.<br>
두팩이상은 비닐포장 부탁해요.매번 숨구멍 여러개.
                    
                </div>",https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/201910/8/4475056310245312854/4a316570-559b-486d-958e-ce636e18e3d2.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/q-1/image2/PRODUCTREVIEW/201910/8/4475056310245312854/4a316570-559b-486d-958e-ce636e18e3d2.jpg
여*숙 ,2018.12.04,"코디 3겹 로맨틱 코튼 천연펄프 롤화장지 27m, 30롤, 1팩",,"<div class=""sdp-review__article__list__review__content js_reviewArticleContent"">
                    
                        이제품도 로맨티꼬튼과 비슷해요<br>
장미문양이 있고 은은한향이 나고요<br>
부드러운건 에어쿠션이 쪼금더 부드러워요<br>
두께는 에어쿠션과 비슷하고요<br>
휴지심과 같이 누르면 꾹 눌리는게 역시 엉성하게 감겨있어서 빨리 쓰게 됩니다<br>
할이쿠폰 있을때만 재구매 의사 있습니다<br>
<br>
두꺼운거 쓰다 쓰면 너무 빨리 써버리는거 같은 <br>
생각이 들어요
                    
                </div>",https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/201812/4/990756251720460173/a576b19d-da30-48e1-a22d-782d2cc68dcc.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/q-1/image2/PRODUCTREVIEW/201812/4/990756251720460173/a576b19d-da30-48e1-a22d-782d2cc68dcc.jpg
송혜란 ,2021.09.28,"코디 3겹 로맨틱 코튼 천연펄프 롤화장지 27m, 30롤, 1팩","
                
                    아주 만족스러워요
                
            ","<div class=""sdp-review__article__list__review__content js_reviewArticleContent"">
                    
                        엄청 도톰하거나 부드러운것도 아닌데 사용감이 참 좋아요<br>
특히 먼지도 별로 안나고(먼지 조금만 나도 기침을 엄청해요)<br>
무엇보다 물에 닿아도 안헤져도 잘 안찢어지고<br>
드디어 인생휴지를 만났네요 ㅎㅎㅎ
                    
                </div>",https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202109/28/7311791929985952093/14f4c68f-9bb8-47f6-aba9-a9662b5ab5d0.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/q-1/image2/PRODUCTREVIEW/202109/28/7311791929985952093/14f4c68f-9bb8-47f6-aba9-a9662b5ab5d0.jpg
장*성 ,2021.09.01,"코디 3겹 로맨틱 코튼 천연펄프 롤화장지 27m, 30롤, 1팩","
                
                    가격대비 도톰합니다
                
            ","<div class=""sdp-review__article__list__review__content js_reviewArticleContent"">
                    
                        요즘 로켓배송으로 생필품을 많이 주문하고 있습니다<br>
화장지는 부피가 커서 마트갈때 남편없으면 사는걸 자꾸 미루게 되네요<br>
쿠팡 로켓배송으로 주문하며 새벽배송으로 바로 오니 세상 편하네요~~^^<br>
가격대비 두께도 도톰하고 보풀도 일어나지 않아요.<br>
싸다고 사서 쓴 경우가 있는데 그런것들은 보풀도 많이 일어나고 얇았어요<br>
길이는 재어보지는 않았지만 하나 걸어두면 적당히 사용하는 것 같아요.<br>
빨리 없어지지는 않는거 같아요~~<br>
담번에도 재 구매 의사가 있습니다
                    
                </div>",https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202109/1/1904716417430971593/cd0d9e65-58ac-4f90-bd5f-ae6b03f37427.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/q-1/image2/PRODUCTREVIEW/202109/1/1904716417430971593/cd0d9e65-58ac-4f90-bd5f-ae6b03f37427.jpg
페르마123 ,2019.06.09,"코디 3겹 로맨틱 코튼 천연펄프 롤화장지 27m, 30롤, 1팩","
                
                    어차피 결정은 본인들이 하시겠지만...^^
                
            ","<div class=""sdp-review__article__list__review__content js_reviewArticleContent"">
                    
                        늘 신속한배송 감사합니다 그런데 오늘 배송은 살짝 속상한감도 있네요 ...배송부분에서 물건이 들기에 불편했던가요??아님 운반과정에서 뮨제였던가요?화장지비닐이 뜯긴채 배송이 되었네요..분명  주말까지 힘들게 배송해주시는  분들께 이런 사소한거 하나하나 걸고넘어지고싶진않지만 쿠팡이라는 회사이름믿고 상품 이름보고 구입하는 고객 입장을 생각해서 마지막 배송까지도 좋은인상으로 남았으면합니다  <br>
<br>
<br>
<br>
상품 구입후기입니다<br>
솔직하게  제가 보고 느낀 그대로 후기 전합니다<br>
저도 온라인으로 상품구입시 많은분들이 써놓으신 상품 후기가 제 상품구입의사 반영에 많은 부분을  차지하기에 저또한 제 구입후기가 도움이되었음 합니다 <br>
 <br>
배송되자마자 뜯어서 화장지 하나를 손에 쥐자 3겹에서 느껴지는 두께감을 저는 솔직히 못느꼈습니다 뭐라설명해야할까요? 예전에 쓰던 타회사y화장지는   틈없이 말려져있는듯한 단단함과 촘촘함이 있다면 코디는 설렁설렁 말려있는 그런 느낌이 들었어요 그래서 길이와 두께차이인가싶어 예전거와 비교해았더니 같은길이에 똑같은 3겹이었습니다  <br>
그래서 다시한번 혼자고개를 끄덕일수밖에 없었습니다 <br>
<br>
돈몇푼 아끼자고 한번 바꿔써볼까 해서 신청했는데.. 저는 재구매는 안할듯싶어요^^
                    
                </div>",https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/201906/9/1013450333746876588/e31090e6-7a76-4d13-89bb-d46da9b2a7b9.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/q-1/image2/PRODUCTREVIEW/201906/9/1013450333746876588/e31090e6-7a76-4d13-89bb-d46da9b2a7b9.jpg
이*영 ,2021.04.09,"코디 3겹 로맨틱 코튼 천연펄프 롤화장지 27m, 30롤, 1팩",,"<div class=""sdp-review__article__list__review__content js_reviewArticleContent"">
                    
                        전 원래 ... 본가에서 지낼때에도 글구 엄마가 <br>
챙겨주신것도 항상 핼로키티 휴지만 써서 다른건 생각도 못햇어요 ㅠㅠㅠ 이번에 결혼하고 언제까지 받아 쓸수 없는거 같그 휴지도 잘 모르는데 ... 포장지 이쁘구 세겹에 뭐 이런거네 혹 해서 구매..!! 로켓배송에도 혹 ㅎㅎㅎㅎ <br>
<br>
키티 휴지보다는 확실히 네겹네서 세겹되니 얇아요 <br>
하지만 먼지 날림 없구요~~ 휴지에서 향이 나요 신기해요<br>
향도 좋구 30롤에 로켓배송에 신혼인 저희가 저정도면 정말 고퀄 ㅎㅎㅎ 그래서 저는 이거 추천해요 ~!! <br>
<br>
우선 향 나는거에 ...!! 그 향이 역하고 그런게 아니라서 <br>
중요한 날 ㅜㅜ 신경도 덜 쓰이고 흡수력도 좋고 그래서 저는 그냥 정기배송 할까 고민중이여 ㅎㅎ 우선 다른 향도 써보구오 ㅎㅎㅎ
                    
                </div>",https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202104/9/4215490949325093515/4bdbe211-d667-4904-ac5a-36ec17ce2357.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/q-1/image2/PRODUCTREVIEW/202104/9/4215490949325093515/4bdbe211-d667-4904-ac5a-36ec17ce2357.jpg
Lieblings ,2018.12.13,"코디 3겹 로맨틱 코튼 천연펄프 롤화장지 27m, 30롤, 1팩","
                
                    먼지 많이 나지 않고 감촉도 부드러워요
                
            ","<div class=""sdp-review__article__list__review__content js_reviewArticleContent"">
                    
                        개봉하니까 은은한 꽃향이 나요<br>
향이 진하지는 않고 가까이에서 느껴지는 정도네요<br>
두께도 제법 도톰하고 감촉도 부드러워요<br>
자를 때 먼지가 많이 나지 않아서 좋습니다<br>
<br>
가격 대비 품질도 괜찮은 듯 해요<br>
전에 사용해보고 재구매했습니다<br>
만족한 제품입니다<br>
<br>
#쿠폰 할인 받아서 <br>
11,900원에 구입했어요
                    
                </div>",https://thumbnail6.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/201812/13/548991455913522559/abd9965d-d88e-43e9-90de-37051310f5f6.jpg,https://thumbnail6.coupangcdn.com/thumbnails/local/q-1/image2/PRODUCTREVIEW/201812/13/548991455913522559/abd9965d-d88e-43e9-90de-37051310f5f6.jpg
김*진 ,2021.09.28,"코디 3겹 로맨틱 코튼 천연펄프 롤화장지 27m, 30롤, 1팩","
                
                    적당히 두께감도 있고 쓰기 좋아요 
                
            ","<div class=""sdp-review__article__list__review__content js_reviewArticleContent"">
                    
                        두께가 있어서 그런지 금방 써요<br>
그래도 퀄리티도 나쁘지않아서 맘놓고 쓰기 좋아요
                    
                </div>",,
윤*진 ,2021.08.30,"코디 3겹 로맨틱 코튼 천연펄프 롤화장지 27m, 30롤, 2팩","
                
                    화장지는 코디만쓰고잇어요
                
            ","<div class=""sdp-review__article__list__review__content js_reviewArticleContent"">
                    
                        샵링크통해서 구매했어요 <br>
화장지 이것저것많이써봣는데 코디만한게없는거같아요<br>
확실히 달라요 가격도좋고 저말고도 가족들이 만족하니까 좋네요<br>
전에는 싸구려만썻는데 이제코디만쓰게되요<br>
앞으로도 자주 구매할게요 두개값도 가격이좋은거같아요^^
                    
                </div>",https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202108/30/5276286452744624101/7298f6a2-1860-495d-bc16-600b98123443.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/q-1/image2/PRODUCTREVIEW/202108/30/5276286452744624101/7298f6a2-1860-495d-bc16-600b98123443.jpg
개똥이엄마 ,2020.04.03,"코디 3겹 로맨틱 코튼 천연펄프 롤화장지 27m, 30롤, 1팩",,"<div class=""sdp-review__article__list__review__content js_reviewArticleContent"">
                    
                        ^______________________^                               <br>
                        <br>
                         &lt;개똥이엄마의 리뷰&gt;<br>
<br>
✅제품구매이유<br>
늘 쓰던 휴지가 일시품절되어 이러저리 검색하다가 구매<br>
<br>
<br>
✅배송후기<br>
로켓배송은 사랑❤️<br>
다음날 바로 도착!!!!<br>
<br>
<br>
✅사용 후기<br>
휴지가 비싼건 이해못하는 스타일이라 <br>
적당한 가격에 맞춰 검색후 구입.<br>
할인하고 있어 더 저렴하게 구입.<br>
휴지를 화장실안에 모두 쌓아두는데 비닐 뜯자마자 <br>
바로 재채기 나옴. 이정도쯤이야..그냥 넘어갈수 있는정도<br>
가격만큼하는 휴지!!<br>
적당한 두께 은은한 향<br>
무형광치고 가격대비 좋은듯<br>
<br>
<br>
<br>
✅단점이있다면..<br>
적잖은 먼지
                    
                </div>",https://thumbnail10.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202004/3/7198845366082786881/288d4bba-4d96-41ed-94bd-55abb54170af.jpg,https://thumbnail10.coupangcdn.com/thumbnails/local/q-1/image2/PRODUCTREVIEW/202004/3/7198845366082786881/288d4bba-4d96-41ed-94bd-55abb54170af.jpg
백*윤 ,2021.09.20,"코디 3겹 로맨틱 코튼 천연펄프 롤화장지 27m, 30롤, 1팩","
                
                    덜 찢어져서 좋습니다.
                
            ","<div class=""sdp-review__article__list__review__content js_reviewArticleContent"">
                    
                        젖으면 찢어지고 해서 괜히 두껍게 말게 되는데<br>
이건 괜찮네요.
                    
                </div>",,
oneness ,2021.09.05,"코디 3겹 로맨틱 코튼 천연펄프 롤화장지 27m, 30롤, 1팩",,"<div class=""sdp-review__article__list__review__content js_reviewArticleContent"">
                    
                        이것저것 많이 써보다가 6개월째 정착중이예요~ <br>
향도 좋고 얇지도 않고 좋아요~ 가격이 엄청 오르지 않는 이상 계속 이걸로 쓸것같아요~
                    
                </div>",,
쇼파귀신 ,2021.08.09,"코디 3겹 로맨틱 코튼 천연펄프 롤화장지 27m, 30롤, 1팩","
                
                    맘에 듭니다~
                
            ","<div class=""sdp-review__article__list__review__content js_reviewArticleContent"">
                    
                        12,300원으로 구매. 가격비교 필수!<br>
<br>
쿠팡은 금액변동이 잦아서…! <br>
<br>
<br>
3겹인데 얇아보이는것도 있는데 적당함. <br>
<br>
향기가 폴폴 나서 무향 좋아하시는 분들에게는 비추. <br>
<br>
<br>
<br>
조금 얇은 느낌이 잇는 휴지네요^^
                    
                </div>",https://thumbnail8.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202109/1/1132906926584981207/0a6e6103-7386-4c8f-8d2a-2b79e45aec4b.jpg,https://thumbnail8.coupangcdn.com/thumbnails/local/q-1/image2/PRODUCTREVIEW/202109/1/1132906926584981207/0a6e6103-7386-4c8f-8d2a-2b79e45aec4b.jpg
김재희 ,2020.08.10,"코디 3겹 로맨틱 코튼 천연펄프 롤화장지 27m, 30롤, 1팩","
                
                    촉감좋고 가격대비 효율짱인듯 가성비굿 휴지입니다
                
            ","<div class=""sdp-review__article__list__review__content js_reviewArticleContent"">
                    
                        화장실휴지로 쓰려고 구매했어용<br>
3겹이궁~~~! 가격 저렴하게 잘 구입한거같아요. <br>
제가 구매할때는 1만원대였어요^^*<br>
싸게 뜰때 바로 겟한거같아 좋네요.<br>
휴지가 생각보다 기숙사에서 많이쓰여서<br>
넉넉히 30롤준비하길 잘한거같습니다! ㅎㅎ<br>
재질은 생각보다 훨 부드럽습니당~~!
                    
                </div>",https://thumbnail7.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202008/10/2584048147869717361/98694d89-53fe-452f-9586-59ca32b24199.jpg,https://thumbnail7.coupangcdn.com/thumbnails/local/q-1/image2/PRODUCTREVIEW/202008/10/2584048147869717361/98694d89-53fe-452f-9586-59ca32b24199.jpg
박영석 ,2021.04.18,"코디 3겹 로맨틱 코튼 천연펄프 롤화장지 27m, 30롤, 1팩","
                
                    두툼, 부그러움 짱
                
            ","<div class=""sdp-review__article__list__review__content js_reviewArticleContent"">
                    
                        미용 티슈도 아니고 화장실에서<br>
사용하는 화장지니까<br>
이 가격에 이만한 품질이면<br>
정말 좋다고 본다.<br>
그래서 코디만 사용한다.
                    
                </div>",https://thumbnail9.coupangcdn.com/thumbnails/local/320/image2/PRODUCTREVIEW/202104/18/5270868640423770636/8fdef032-8470-4b49-99cf-7ab6fc66b065.jpg,https://thumbnail9.coupangcdn.com/thumbnails/local/q-1/image2/PRODUCTREVIEW/202104/18/5270868640423770636/8fdef032-8470-4b49-99cf-7ab6fc66b065.jpg
